71125000,58312500,-7437500,649750000,
69500000,56937500,-6187500,644812500,
68562500,55812500,-5500000,624750000,
67062500,55250000,-5000000,592312500,
65562500,54500000,-4500000,587062500,
65375000,54312500,-4250000,519062500,
58750000,53000000,-3937500,376875000,
56125000,52000000,-3625000,327875000,
53437500,51375000,-3500000,294875000,
52500000,50750000,-3312500,205187500,
50062500,50750000,-3250000,419875000,
60937500,52437500,-3125000,719000000,
70625000,53937500,-3125000,847437500,
76312500,54750000,-3000000,851187500,
72312500,53250000,-2812500,524750000,
58562500,51562500,-2750000,371000000,
56062500,51250000,-2687500,576000000,
64875000,52625000,-2750000,696875000,
69375000,53062500,-2687500,756000000,
70875000,53500000,-2687500,774000000,
72312500,53875000,-2687500,812687500,
72062500,53062500,-2562500,670250000,
65875000,52375000,-2562500,532250000,
60250000,51437500,-2500000,391312500,
54500000,50375000,-2500000,272625000,
49500000,49187500,-2375000,204687500,
47937500,49250000,-2437500,153625000,
45312500,48562500,-2437500,92250000,
42750000,47750000,-2375000,54250000,
41125000,47562500,-2375000,176937500,
49937500,49375000,-2375000,445250000,
59625000,50875000,-2437500,593937500,
64437500,51500000,-2437500,673625000,
66500000,51750000,-2437500,710687500,
68375000,52187500,-2437500,729937500,
69250000,52250000,-2437500,737687500,
